Sr.No.,Uan,Emp. No,Name,Father Name,Designation,D.O.B,D.O.J,Aadhar,PAN,DL,Bank,A/c no.,IFSC Code,Marital Status,Blood Group,Mobile,Permanent Address,Local Address,Photo,Signature or thumb impression of workman,,,,Basic,HRA,CON,Medical,Education,Canteen,IncomeTax,Gender,Daily Wages,PF No.,Gratuity No.,Leave No.,casual Leave,sick Leave,select Wages
1,2345678901,2,TejashKumar Desai ,Hashmukhbhai,Skilled,01-01-1975,01-01-2009,1.23E+12,AAFGP4833B,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,30000,11000,9000,5000,10000,4950,0,Male,2315,Hashmukhbhai Bhikhubhai Desai,Hashmukhbhai Bhikhubhai Desai,Hashmukhbhai Bhikhubhai Desai,10,10,Daily Wages
2,8381773840,3,Amit Kumar , Subodh KumarTiwari ,Skilled,01-01-1976,01-01-2010,1.23E+12,AAFGP4822C,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,12000,5000,3000,3000,3000,2350,0,Male,945, Subodh KumarTiwari , Subodh KumarTiwari , Subodh KumarTiwari ,10,10,Daily Wages
3,2729336270,4,Dhananjay Sen,Arabinda Sen,Skilled,01-01-1977,01-01-2011,1.23E+12,AAFGP4833D,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,12000,5000,3000,3000,3500,2350,0,Male,967,Arabinda Sen,Arabinda Sen,Arabinda Sen,10,10,Daily Wages
4,3456789012,5,Kanchan Kumar ,Ramvachan Thakur ,Skilled,01-01-1978,01-01-2012,1.23E+12,AAFGP4822E,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,617,Ramvachan Thakur ,Ramvachan Thakur ,Ramvachan Thakur ,10,10,Daily Wages
5,4567890123,6,Hira Mandel,Laxman Mandal,Skilled,01-01-1979,01-01-2013,1.23E+12,AAFGP4833F,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,783,Laxman Mandal,Laxman Mandal,Laxman Mandal,10,10,Daily Wages
6,5678901234,7,Vishnudev  Yadav,Ram Prasad Yadav,Skilled,01-01-1980,01-01-2014,1.23E+12,AAFGP4822G,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,658,Ram Prasad Yadav,Ram Prasad Yadav,Ram Prasad Yadav,10,10,Daily Wages
7,6789012345,8,Jayram Singh,Suresh Singh,Skilled,01-01-1981,01-01-2015,1.23E+12,AAFGP4833H,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,883,Suresh Singh,Suresh Singh,Suresh Singh,10,10,Daily Wages
8,7890123456,9,Dharmendra Kumar,Sanjay Paswan,Skilled,01-01-1982,01-01-2016,1.23E+12,AAFGP4822I,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,433,Sanjay Paswan,Sanjay Paswan,Sanjay Paswan,10,10,Daily Wages
9,8901234567,10,Pawan Thakur,Samlal Thakur,Skilled,01-01-1983,01-01-2017,1.23E+12,AAFGP4833J,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,390,Samlal Thakur,Samlal Thakur,Samlal Thakur,10,10,Daily Wages
10,9012345678,11,Panchu Thakur ,Loknath Thakur ,Skilled,01-01-1984,01-01-2018,1.23E+12,AAFGP4822K,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,390,Loknath Thakur ,Loknath Thakur ,Loknath Thakur ,10,10,Daily Wages
11,1234567890,12,Moti Mandal,Lakhman Mandal,Skilled,01-01-1985,01-01-2019,1.23E+12,AAFGP4833L,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,410,Lakhman Mandal,Lakhman Mandal,Lakhman Mandal,10,10,Daily Wages
12,9876543210,13,Ashish Maurya,Prem Chand,Skilled,01-01-1986,01-01-2020,1.23E+12,AAFGP4822M,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,390,Prem Chand,Prem Chand,Prem Chand,10,10,Daily Wages
13,8765432109,14,Jeetendra Kewat,Ramlakhan Kewat,Skilled,01-01-1987,01-01-2021,1.23E+12,AAFGP4833N,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,390,Ramlakhan Kewat,Ramlakhan Kewat,Ramlakhan Kewat,10,10,Daily Wages
14,7654321098,15,Pushparaj Kewat,Santosh Kevat,Skilled,01-01-1988,01-01-2022,1.23E+12,AAFGP4822O,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,370,Santosh Kevat,Santosh Kevat,Santosh Kevat,10,10,Daily Wages
15,6543210987,16,Rahul Kewat,Ramlakhan Kewat,Skilled,01-01-1989,01-01-2023,1.23E+12,AAFGP4833P,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,370,Ramlakhan Kewat,Ramlakhan Kewat,Ramlakhan Kewat,10,10,Daily Wages
16,5432109876,17,Sunil Kumar,Hori Lal,Skilled,01-01-1990,01-01-2024,1.23E+12,AAFGP4822Q,NA,Axis bank,9.88E+14,AXL0000SILS,Unmarried,B,9.77E+09,Silvassa,Silvassa,,,,,,10000,2000,2000,1000,1000,400,0,Male,370,Hori Lal,Hori Lal,Hori Lal,10,10,Daily Wages
